LED pixel height,LED pixel width,Fontname,Fontsize,Text,btatt.value
32,64,cusong16_zitidi.com,32,Wim,4f0100010040010000dfb9ec9b006503000101005000ffffff0000000080ffffff14201fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0079fe7079fe7079fe7079fe707ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07feff01feff0178780078780000000080ffffff1420801f00801f00801f00801f00801f00000000000000000000000000e01f00e01f00e01f00e01f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00e07f00e07f00e07f00e07f0000000080ffffff1420000000000000000000000000000000000000000000000000000000feff01feff01ffff07ffff07ffff07ffff079fe7079fe7079fe7079fe7079fe7079fe7079fe7079fe7071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe007000000
32,64,cusong16_zitidi.com,32,.,83000001007400000048e5f36b002501000101005000ffffff0000000080ffffff1420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801f00801f00801f00801f00801f00801f00000000
32,64,cusong16_zitidi.com,32,-,830000010074000000e52357f4002601000101005000ffffff0000000080ffffff1420000000000000000000000000000000000000000000000000000000000000000000000000000000feff07feff07feff07feff07feff07feff07000000000000000000000000000000000000000000000000000000000000000000000000000000
32,64,cusong16_zitidi.com,32,.,83000001007400000048e5f36b002701000101005000ffffff0000000080ffffff1420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801f00801f00801f00801f00801f00801f00000000
32,64,cusong16_zitidi.com,32,+,8300000100740000006916ba82002801000101005000ffffff0000000080ffffff1420000000000000000000000000000000801f00801f00801f00801f00801f00801f00801f00801f00feff07feff07feff07feff07feff07feff07801f00801f00801f00801f00801f00801f00801f00801f00000000000000000000000000000000
32,64,cusong16_zitidi.com,32,.,83000001007400000048e5f36b002901000101005000ffffff0000000080ffffff1420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801f00801f00801f00801f00801f00801f00000000
32,64,cusong16_zitidi.com,32,0,610000010052000000f4ded790002a01000101005000ffffff0000000002fffffffe1fff7fff7fff7fff7f1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7e1f7eff7fff7fff7fff7ffe1ffe1f0000
32,64,cusong16_zitidi.com,32,.,83000001007400000048e5f36b002b01000101005000ffffff0000000080ffffff1420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801f00801f00801f00801f00801f00801f00000000
32,64,cusong16_zitidi.com,32,|,630000010054000000e4ea1a5e002c01000101005000ffffff0000000080ffffff102000000000000000008001800180018001800180018001800180018001800180018001800180018001800180018001800180018001800180018001800180018001
32,64,cusong16_zitidi.com,32,.,83000001007400000048e5f36b002d01000101005000ffffff0000000080ffffff1420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801f00801f00801f00801f00801f00801f00000000
32,64,cusong16_zitidi.com,32,Wim,4f0100010040010000dfb9ec9b002e03000101005000ffffff0000000080ffffff14201fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe0079fe7079fe7079fe7079fe707ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07ffff07feff01feff0178780078780000000080ffffff1420801f00801f00801f00801f00801f00000000000000000000000000e01f00e01f00e01f00e01f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00e07f00e07f00e07f00e07f0000000080ffffff1420000000000000000000000000000000000000000000000000000000feff01feff01ffff07ffff07ffff07ffff079fe7079fe7079fe7079fe7079fe7079fe7079fe7079fe7071fe0071fe0071fe0071fe0071fe0071fe0071fe0071fe007000000
32,64,cusong16_zitidi.com,16,Wim,8f000001008000000039da1628006503000101005000ffffff0000000080ffffff0a1083018301830183018301830193019301bb01bb01bb01ef01ef01ee004400000080ffffff0a10300030000000000000003800300030003000300030003000300030007800000080ffffff0a1000000000000000000000ee00ff01930193019301930183018301830183010000
32,64,cusong16_zitidi.com,16,.,430000010034000000d4359be9002f01000101005000ffffff0000000080ffffff0a100000000000000000000000000000000000000000000000000000300030000000
32,64,cusong16_zitidi.com,16,-,4300000100340000007512a0fe003001000101005000ffffff0000000080ffffff0a100000000000000000000000000000fe01fe010000000000000000000000000000
32,64,cusong16_zitidi.com,16,.,430000010034000000d4359be9003101000101005000ffffff0000000080ffffff0a100000000000000000000000000000000000000000000000000000300030000000
32,64,cusong16_zitidi.com,16,+,430000010034000000a2f809d3003201000101005000ffffff0000000080ffffff0a100000000000003000300030003000fe01fe013000300030003000000000000000
32,64,cusong16_zitidi.com,16,.,430000010034000000d4359be9003301000101005000ffffff0000000080ffffff0a100000000000000000000000000000000000000000000000000000300030000000
32,64,cusong16_zitidi.com,16,0,31000001002200000093534524003401000101005000ffffff0000000000ffffff3e7f63636363636363636363637f3e00
32,64,cusong16_zitidi.com,16,.,430000010034000000d4359be9003501000101005000ffffff0000000080ffffff0a100000000000000000000000000000000000000000000000000000300030000000
32,64,cusong16_zitidi.com,16,|,33000001002400000045acef56003601000101005000ffffff0000000080ffffff081008080808080808080808080808080808
32,64,cusong16_zitidi.com,16,.,430000010034000000d4359be9003701000101005000ffffff0000000080ffffff0a100000000000000000000000000000000000000000000000000000300030000000
32,64,cusong16_zitidi.com,16,Wim,8f000001008000000039da1628003803000101005000ffffff0000000080ffffff0a1083018301830183018301830193019301bb01bb01bb01ef01ef01ee004400000080ffffff0a10300030000000000000003800300030003000300030003000300030007800000080ffffff0a1000000000000000000000ee00ff01930193019301930183018301830183010000
32,64,cusong16_zitidi.com,32,Paul,b501000100a60100004aa5e728003d04000101005000ffffff0000000080ffffff1420ffff01ffff07ffff07ffff07ffff077ef8077ef8077ee0077ee0077ee0077ee0077ef8077ef807feff07feff07feff07feff07feff01feff017e00007e00007e00007e00007e00007e0000ff0100ff0100ff0100ff0100ff0100ff010000000080ffffff1420000000000000000000000000000000000000000000000000000000fe7f00fe7f00feff01feff0100f80100f801feff01feff01ffff01ffff011ff8011ff8011ff8011ff8011ff8011ff801ffff01ffff01ffff07ffff07feff07feff0700000080ffffff14200000000000000000000000000000000000000000000000000000001ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff8011ff801ffff07ffff07feff07feff0700000080ffffff1420e01f00e01f00e01f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00801f00e07f00e07f00e07f00e07f00000000"
